Attack ID;Source 1;Report number;Source 2;Type of attack;Category;Hospital name;Governorate;Date;Month-year;Year-month;Month;Year; Killed staff FU ; Killed staff II ; Killed patients FU ; Killed patients II ; Killed individuals FU ; Killed individuals II ; Detained staff FU ; Detained staff II ; Detained patients FU ; Detained patients II ; Detained individuals FU ; Detained individuals II ; Injured staff FU ; Injured staff II ; Injured patients FU ; Injured patients II ; Injured individuals FU ; Injured individuals II ;Closure;Reopening;Comments
56;Flash Update;15;No;Order of evacuation;Evacuation order;Al-Rantisi Specialized Hospital;Gaza City;21-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
57;Flash Update;15;No;Order of evacuation;Evacuation order;Al Quds Hospital;Gaza City;21-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
58;Flash Update;15;No;Order of evacuation;Evacuation order;Turkish Friendship Hospital;Gaza City;21-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
59;Flash Update;15;No;Order of evacuation;Evacuation order;Ophtalmic Hospital;Gaza City;21-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
60;Flash Update;15;No;Order of evacuation;Evacuation order;Not specified;Gaza City;21-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
61;Flash Update;15;No;Order of evacuation;Evacuation order;Not specified;Gaza City;21-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
62;Flash Update;15;No;Order of evacuation;Evacuation order;Not specified;Gaza City;21-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
63;Flash Update;15;No;Order of evacuation;Evacuation order;Not specified;Gaza City;21-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
64;Flash Update;15;No;Order of evacuation;Evacuation order;Not specified;Gaza City;21-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
65;Flash Update;15;No;Order of evacuation;Evacuation order;Not specified;Rafah;21-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
66;Insecurity Insight;NA;No;Shelling;Violence with heavy weapons, fire or chemical agent;Al Quds Hospital;Gaza City;22-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
67;Insecurity Insight;NA;No;Lack of fuel;Obstruction to healthcare delivery;Indonesian Hospital;Gaza North;24-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
68;Insecurity Insight;NA;No;Lack of fuel/medical supply;Obstruction to healthcare delivery;Nasser Hospital;Khan Younis;29-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
69;Insecurity Insight;NA;No;Threat;Violence against individuals;Al Quds Hospital;Gaza City;29-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
70;Flash Update;23;Insecurity Insight;Shelling;Violence with heavy weapons, fire or chemical agent;Al Quds Hospital;Gaza City;29-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
71;Flash Update;24;No;Order of evacuation;Evacuation order;Indonesian Hospital;Gaza North;29-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
72;Flash Update;24;Insecurity Insight;Shelling;Violence with heavy weapons, fire or chemical agent;Turkish Friendship Hospital;Gaza City;30-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;repeated evacuation order on the 13 functional hospitals of northern Gaza
73;Flash Update;24;No;Order of evacuation;Evacuation order;Al Quds Hospital;Gaza City;30-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;repeated evacuation order on the 13 functional hospitals of northern Gaza
74;Flash Update;24;No;Order of evacuation;Evacuation order;Al Shifa Medical Hospital;Gaza City;30-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;repeated evacuation order on the 13 functional hospitals of northern Gaza
75;Flash Update;24;No;Order of evacuation;Evacuation order;Kamal Adwan Hospital;Gaza North;30-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;repeated evacuation order on the 13 functional hospitals of northern Gaza
76;Flash Update;24;No;Order of evacuation;Evacuation order;Al Awda Hospital-North;Gaza North;30-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;repeated evacuation order on the 13 functional hospitals of northern Gaza
77;Flash Update;24;No;Order of evacuation;Evacuation order;Al Sahaba Hospital;Gaza City;30-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;repeated evacuation order on the 13 functional hospitals of northern Gaza
78;Flash Update;24;No;Order of evacuation;Evacuation order;Al Ahli Arab Hospital;Gaza City;30-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;repeated evacuation order on the 13 functional hospitals of northern Gaza
79;Flash Update;24;No;Order of evacuation;Evacuation order;Psychiatric Hospital;Gaza City;30-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;repeated evacuation order on the 13 functional hospitals of northern Gaza
80;Flash Update;24;No;Order of evacuation;Evacuation order;Al-Ranteesi Al-Naser Paediatric Hospital;Gaza City;30-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;repeated evacuation order on the 13 functional hospitals of northern Gaza
81;Flash Update;24;No;Order of evacuation;Evacuation order;Turkish Friendship Hospital;Gaza City;30-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;repeated evacuation order on the 13 functional hospitals of northern Gaza
82;Flash Update;24;No;Order of evacuation;Evacuation order;Not specified;Gaza City;30-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;repeated evacuation order on the 13 functional hospitals of northern Gaza
83;Flash Update;24;No;Order of evacuation;Evacuation order;Not specified;Gaza City;30-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;repeated evacuation order on the 13 functional hospitals of northern Gaza
84;Flash Update;24;No;Order of evacuation;Evacuation order;Not specified;Gaza City;30-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;repeated evacuation order on the 13 functional hospitals of northern Gaza
85;Flash Update;24;No;Shelling;Violence with heavy weapons, fire or chemical agent;Nasser Hospital;Khan Younis;30-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
